	sample_type	timepoint	compare_1	compare_2	test_type	method name	test statistic name	sample size	number of groups	test statistic	p-value	number of permutations	fdr_bh
39	Baby-Forearm	1.0	CS	Vag	PERMANOVA results	PERMANOVA	pseudo-F	32	2	1.3140909064667663	0.26073926073926074	1000	0.4768135090715736
40	Baby-Forearm	1.0	CSseed	Vag	PERMANOVA results	PERMANOVA	pseudo-F	26	2	0.170344322202224	0.8271728271728271	1000	0.8589871666794744
41	Baby-Forearm	1.0	CSseed	CS	PERMANOVA results	PERMANOVA	pseudo-F	22	2	1.7351525135234522	0.19480519480519481	1000	0.40459540459540466
42	Baby-Forearm	2.0	CS	Vag	PERMANOVA results	PERMANOVA	pseudo-F	31	2	0.5604039594425446	0.5354645354645354	1000	0.6571610207973845
43	Baby-Forearm	2.0	CSseed	Vag	PERMANOVA results	PERMANOVA	pseudo-F	25	2	0.33957273256848725	0.6693306693306693	1000	0.7497400558625048
44	Baby-Forearm	2.0	CSseed	CS	PERMANOVA results	PERMANOVA	pseudo-F	22	2	1.2902229384625474	0.27372627372627373	1000	0.4768135090715736
45	Baby-Forearm	4.0	CS	Vag	PERMANOVA results	PERMANOVA	pseudo-F	28	2	0.26414883121766225	0.7452547452547452	1000	0.7890932596814949
46	Baby-Forearm	4.0	CSseed	Vag	PERMANOVA results	PERMANOVA	pseudo-F	24	2	0.3358149545997365	0.6803196803196803	1000	0.7497400558625048
47	Baby-Forearm	4.0	CSseed	CS	PERMANOVA results	PERMANOVA	pseudo-F	20	2	0.8389459456165377	0.4005994005994006	1000	0.5355132672205842
48	Baby-Forearm	6.0	CS	Vag	PERMANOVA results	PERMANOVA	pseudo-F	26	2	1.9299887012997743	0.17182817182817184	1000	0.3733066933066933
49	Baby-Forearm	6.0	CSseed	Vag	PERMANOVA results	PERMANOVA	pseudo-F	21	2	0.11796725157742455	0.8901098901098901	1000	0.9069044163383785
50	Baby-Forearm	6.0	CSseed	CS	PERMANOVA results	PERMANOVA	pseudo-F	21	2	1.0171267912662425	0.33966033966033965	1000	0.5240473811902383
51	Baby-Forearm	12.0	CS	Vag	PERMANOVA results	PERMANOVA	pseudo-F	26	2	1.496052555699716	0.22577422577422576	1000	0.4515484515484515
52	Baby-Forearm	12.0	CSseed	Vag	PERMANOVA results	PERMANOVA	pseudo-F	21	2	0.33449542975154267	0.6303696303696303	1000	0.739999131303479
53	Baby-Forearm	12.0	CSseed	CS	PERMANOVA results	PERMANOVA	pseudo-F	21	2	0.5541788728541999	0.4935064935064935	1000	0.634508348794063
