Sampling Sites	Days	Taxonomy	VaginaASV	seeding.effectiveness.scale	feature.frequency	P.VD	P.CSR	P.CS
Feces	30	Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacterium.unknown.asv_9731	FALSE	0.86	0.27	0.299	0.671	0.03
Feces	30	Bacteroidetes.Bacteroidia.Bacteroidales.[Barnesiellaceae].unknown.unknown.asv_1866	FALSE	0.802	0.106	0.302	0.562	0.135
Feces	30	Bacteroidetes.Bacteroidia.Bacteroidales.[Odoribacteraceae].Odoribacter.unknown.asv_1864	FALSE	0.808	0.17	0.489	0.32	0.19
Feces	30	Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.unknown.asv_7	FALSE	0.997	0.411	0.521	0.447	0.032
Feces	30	Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.unknown.asv_3	FALSE	0.912	0.149	0.318	0.632	0.05
Feces	30	Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Parabacteroides.distasonis.asv_1646	FALSE	0.975	0.376	0.346	0.642	0.012
Feces	30	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.unknown.asv_650	TRUE	0.811	0.156	0.384	0.377	0.239
Feces	30	Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.neonatale.asv_238	FALSE	0.9	0.206	0.143	0.019	0.838
Feces	30	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.unknown.unknown.asv_1641	FALSE	0.962	0.135	0.464	0.41	0.126
Feces	30	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.producta.asv_394	FALSE	0.892	0.128	0.15	0.011	0.839
Feces	30	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospira.unknown.asv_3858	FALSE	0.982	0.128	0.432	0.472	0.096
Feces	30	Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium.prausnitzii.asv_247	TRUE	0.887	0.255	0.369	0.446	0.185
Feces	30	Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium.prausnitzii.asv_1687	TRUE	0.847	0.291	0.152	0.049	0.799
Feces	30	Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium.prausnitzii.asv_1861	FALSE	0.804	0.199	0.346	0.421	0.232
Feces	30	Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Oscillospira.guilliermondii.asv_1624	FALSE	0.908	0.113	0.398	0.424	0.179
Feces	30	Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus.bromii.asv_732	FALSE	0.942	0.135	0.408	0.442	0.15
Feces	30	Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales.Verrucomicrobiaceae.Akkermansia.muciniphila.asv_13348	FALSE	0.99	0.177	0.423	0.508	0.069
Feces	120	Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.unknown.asv_458	FALSE	0.932	0.524	0.41	0.421	0.169
Feces	120	Actinobacteria.Actinobacteria.Actinomycetales.Corynebacteriaceae.Corynebacterium.unknown.asv_33	TRUE	0.831	0.155	0.295	0.637	0.068
Feces	120	Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.unknown.asv_3	FALSE	0.955	0.179	0.468	0.393	0.139
Feces	120	Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.caccae.asv_1857	TRUE	0.867	0.131	0.384	0.401	0.215
Feces	120	Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.uniformis.asv_10	TRUE	0.859	0.226	0.318	0.538	0.144
Feces	120	Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Parabacteroides.unknown.asv_1854	FALSE	0.896	0.155	0.314	0.609	0.077
Feces	120	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.unknown.asv_155	TRUE	0.859	0.107	0.321	0.524	0.154
Feces	120	Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.putredinis.asv_782	FALSE	0.903	0.155	0.357	0.473	0.17
Feces	120	Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.unknown.asv_1135	TRUE	0.89	0.179	0.33	0.529	0.14
Feces	120	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus.unknown.asv_1868	TRUE	0.914	0.131	0.428	0.391	0.181
Feces	120	Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.unknown.unknown.asv_7259	FALSE	0.848	0.119	0.36	0.42	0.22
Feces	120	Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium.prausnitzii.asv_1687	TRUE	0.848	0.25	0.312	0.553	0.136
Feces	120	Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Clostridium.ramosum.asv_5270	FALSE	0.814	0.571	0.375	0.379	0.245
Feces	180	Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.unknown.asv_458	FALSE	0.907	0.488	0.406	0.405	0.189
Feces	180	Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.Rothia.mucilaginosa.asv_1625	TRUE	0.962	0.244	0.388	0.492	0.12
Feces	180	Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.Rothia.mucilaginosa.asv_258	FALSE	0.925	0.14	0.362	0.488	0.15
