	formula	min_features	batch_size	differential_prior	CV	baseline_CV	q_squared	body_site	days	model	best
39	"C(birth_mode_ms, Treatment(""Vag""))"	14	28	0.5	893.850634765625	909.4704833984375	0.01717466252939348	Baby-Feces	30.0	TP-model-no-country	
40	"C(birth_mode_ms, Treatment(""Vag""))"	14	56	0.25	927.0893737792969	961.0399475097656	0.035326912079399975	Baby-Feces	30.0	TP-model-no-country	
41	"C(birth_mode_ms, Treatment(""Vag""))"	14	56	0.5	927.0894226074219	961.0399475097656	0.03532686127180862	Baby-Feces	30.0	TP-model-no-country	
42	"C(birth_mode_ms, Treatment(""Vag""))"	7	14	0.25	499.06679382324216	499.6149871826172	0.001097231615221017	Baby-Feces	30.0	TP-model-no-country	Yes
43	"C(birth_mode_ms, Treatment(""Vag""))"	7	14	0.5	499.06683959960935	499.6150848388672	0.0010973352404574088	Baby-Feces	30.0	TP-model-no-country	
44	"C(birth_mode_ms, Treatment(""Vag""))"	7	28	0.25	520.3867980957032	529.9031188964843	0.01795860500047397	Baby-Feces	30.0	TP-model-no-country	
45	"C(birth_mode_ms, Treatment(""Vag""))"	7	28	0.5	520.3869262695313	529.9031372070312	0.017958397052822206	Baby-Feces	30.0	TP-model-no-country	
46	"C(birth_mode_ms, Treatment(""Vag""))"	7	56	0.25	549.8077697753906	559.1120727539062	0.016641212794220706	Baby-Feces	30.0	TP-model-no-country	
47	"C(birth_mode_ms, Treatment(""Vag""))"	7	56	0.5	549.8078369140625	559.1120361328125	0.016641028304638095	Baby-Feces	30.0	TP-model-no-country	
48	"C(birth_mode_ms, Treatment(""Vag""))"	2	17	0.25	54.31811676025391	54.56285629272461	0.00448546042307052	Baby-Forearm	120.0	TP-model-no-country	
49	"C(birth_mode_ms, Treatment(""Vag""))"	2	17	0.5	54.318159866333005	54.562852478027345	0.004484600796721194	Baby-Forearm	120.0	TP-model-no-country	
50	"C(birth_mode_ms, Treatment(""Vag""))"	2	4	0.25	39.21238403320312	40.4388973236084	0.030330037948122723	Baby-Forearm	120.0	TP-model-no-country	Yes
51	"C(birth_mode_ms, Treatment(""Vag""))"	2	4	0.5	39.21310119628906	40.43999099731445	0.03033852804534176	Baby-Forearm	120.0	TP-model-no-country	
54	"C(birth_mode_ms, Treatment(""Vag""))"	4	17	0.25	89.28552780151367	89.5370002746582	0.0028085872027555636	Baby-Forearm	120.0	TP-model-no-country	
55	"C(birth_mode_ms, Treatment(""Vag""))"	4	17	0.5	89.28565902709961	89.53699798583985	0.002807096109923024	Baby-Forearm	120.0	TP-model-no-country	
58	"C(birth_mode_ms, Treatment(""Vag""))"	4	8	0.25	80.68305206298828	81.5813720703125	0.011011337325265602	Baby-Forearm	120.0	TP-model-no-country	
59	"C(birth_mode_ms, Treatment(""Vag""))"	4	8	0.5	80.68377532958985	81.5815414428711	0.011004525011456545	Baby-Forearm	120.0	TP-model-no-country	
60	"C(birth_mode_ms, Treatment(""Vag""))"	2	17	0.25	157.93010711669922	168.59122161865236	0.06323647458981119	Baby-Forearm	180.0	TP-model-no-country	
61	"C(birth_mode_ms, Treatment(""Vag""))"	2	17	0.5	157.92987213134765	168.59125366210938	0.06323804645363917	Baby-Forearm	180.0	TP-model-no-country	
62	"C(birth_mode_ms, Treatment(""Vag""))"	2	4	0.25	131.45953369140625	133.80283813476564	0.01751311463961036	Baby-Forearm	180.0	TP-model-no-country	Yes
63	"C(birth_mode_ms, Treatment(""Vag""))"	2	4	0.5	131.46492919921874	133.8041763305664	0.01748261672766105	Baby-Forearm	180.0	TP-model-no-country	
64	"C(birth_mode_ms, Treatment(""Vag""))"	2	8	0.25	145.08033447265626	151.75078125	0.043956589365787724	Baby-Forearm	180.0	TP-model-no-country	
65	"C(birth_mode_ms, Treatment(""Vag""))"	2	8	0.5	145.08062896728515	151.75106506347657	0.04395643676966099	Baby-Forearm	180.0	TP-model-no-country	
66	"C(birth_mode_ms, Treatment(""Vag""))"	4	17	0.25	273.7447814941406	294.9814086914063	0.07199310387551328	Baby-Forearm	180.0	TP-model-no-country	
67	"C(birth_mode_ms, Treatment(""Vag""))"	4	17	0.5	273.7460632324219	294.98133544921876	0.07198852830623437	Baby-Forearm	180.0	TP-model-no-country	
68	"C(birth_mode_ms, Treatment(""Vag""))"	4	4	0.25	168.159716796875	212.8561019897461	0.20998404450262953	Baby-Forearm	180.0	TP-model-no-country	
69	"C(birth_mode_ms, Treatment(""Vag""))"	4	4	0.5	168.16251220703126	212.85904693603516	0.20998184184501845	Baby-Forearm	180.0	TP-model-no-country	
70	"C(birth_mode_ms, Treatment(""Vag""))"	4	8	0.25	196.2070343017578	269.8808654785156	0.27298649367427186	Baby-Forearm	180.0	TP-model-no-country	
71	"C(birth_mode_ms, Treatment(""Vag""))"	4	8	0.5	196.21258697509765	269.8811981201172	0.2729668152437634	Baby-Forearm	180.0	TP-model-no-country	
72	"C(birth_mode_ms, Treatment(""Vag""))"	3	13	0.25	57.08543586730957	58.66420021057129	0.026911887276990898	Baby-Forearm	2.0	TP-model-no-country	
73	"C(birth_mode_ms, Treatment(""Vag""))"	3	13	0.5	57.08615264892578	58.66436004638672	0.02690232018576566	Baby-Forearm	2.0	TP-model-no-country	
74	"C(birth_mode_ms, Treatment(""Vag""))"	3	27	0.25	64.68876037597656	65.00181503295899	0.004816091009515633	Baby-Forearm	2.0	TP-model-no-country	
75	"C(birth_mode_ms, Treatment(""Vag""))"	3	27	0.5	64.6888526916504	65.00181198120117	0.0048146240852683375	Baby-Forearm	2.0	TP-model-no-country	
76	"C(birth_mode_ms, Treatment(""Vag""))"	3	6	0.25	42.326083755493165	43.67278785705567	0.03083622932363206	Baby-Forearm	2.0	TP-model-no-country	Yes
77	"C(birth_mode_ms, Treatment(""Vag""))"	3	6	0.5	42.32631149291992	43.67319297790527	0.030840004889652883	Baby-Forearm	2.0	TP-model-no-country	
78	"C(birth_mode_ms, Treatment(""Vag""))"	6	13	0.25	89.2946273803711	99.36260833740235	0.10132565082071654	Baby-Forearm	2.0	TP-model-no-country	
79	"C(birth_mode_ms, Treatment(""Vag""))"	6	13	0.5	89.29517059326172	99.36284713745117	0.10132234365489323	Baby-Forearm	2.0	TP-model-no-country	
80	"C(birth_mode_ms, Treatment(""Vag""))"	6	27	0.25	109.88021697998047	116.20201263427734	0.054403495352472575	Baby-Forearm	2.0	TP-model-no-country	
81	"C(birth_mode_ms, Treatment(""Vag""))"	6	27	0.5	109.8806251525879	116.20203170776367	0.05440013795174825	Baby-Forearm	2.0	TP-model-no-country	
82	"C(birth_mode_ms, Treatment(""Vag""))"	6	6	0.25	73.54686965942383	77.35199661254883	0.04919235597995786	Baby-Forearm	2.0	TP-model-no-country	
83	"C(birth_mode_ms, Treatment(""Vag""))"	6	6	0.5	73.5470100402832	77.35230178833008	0.04919429234904782	Baby-Forearm	2.0	TP-model-no-country	
84	"C(birth_mode_ms, Treatment(""Vag""))"	4	17	0.25	96.45116882324218	102.8438346862793	0.062158960549630105	Baby-Forearm	30.0	TP-model-no-country	
85	"C(birth_mode_ms, Treatment(""Vag""))"	4	17	0.5	96.45096435546876	102.84389724731446	0.062161519185453096	Baby-Forearm	30.0	TP-model-no-country	Yes
86	"C(birth_mode_ms, Treatment(""Vag""))"	4	35	0.25	108.03037948608399	111.01694946289062	0.026901927960153005	Baby-Forearm	30.0	TP-model-no-country	
87	"C(birth_mode_ms, Treatment(""Vag""))"	4	35	0.5	108.03042831420899	111.01689910888672	0.02690104676539884	Baby-Forearm	30.0	TP-model-no-country	
90	"C(birth_mode_ms, Treatment(""Vag""))"	8	17	0.25	139.59097900390626	144.71973571777343	0.035439234935234154	Baby-Forearm	30.0	TP-model-no-country	
91	"C(birth_mode_ms, Treatment(""Vag""))"	8	17	0.5	139.59144744873046	144.71994018554688	0.0354373608104116	Baby-Forearm	30.0	TP-model-no-country	
92	"C(birth_mode_ms, Treatment(""Vag""))"	8	35	0.25	168.95970458984374	170.55296020507814	0.009341706020925211	Baby-Forearm	30.0	TP-model-no-country	
93	"C(birth_mode_ms, Treatment(""Vag""))"	8	35	0.5	168.95970764160157	170.55292053222655	0.00934145768746275	Baby-Forearm	30.0	TP-model-no-country	
96	"C(birth_mode_ms, Treatment(""Vag""))"	2	18	0.25	754.4028076171875	825.4645629882813	0.08608698490198252	Baby-Mouth	120.0	TP-model-no-country	
97	"C(birth_mode_ms, Treatment(""Vag""))"	2	18	0.5	754.403662109375	825.4646240234375	0.08608601731192411	Baby-Mouth	120.0	TP-model-no-country	
100	"C(birth_mode_ms, Treatment(""Vag""))"	2	9	0.25	595.76025390625	741.5589416503906	0.196611057537322	Baby-Mouth	120.0	TP-model-no-country	Yes
101	"C(birth_mode_ms, Treatment(""Vag""))"	2	9	0.5	595.7618713378906	741.5591613769532	0.19660911446140183	Baby-Mouth	120.0	TP-model-no-country	
102	"C(birth_mode_ms, Treatment(""Vag""))"	4	18	0.25	1011.457470703125	1161.7105712890625	0.1293378095192962	Baby-Mouth	120.0	TP-model-no-country	
103	"C(birth_mode_ms, Treatment(""Vag""))"	4	18	0.5	1011.458642578125	1161.710595703125	0.12933681906728234	Baby-Mouth	120.0	TP-model-no-country	
106	"C(birth_mode_ms, Treatment(""Vag""))"	4	9	0.25	634.8269714355469	1009.4184875488281	0.37109634976361705	Baby-Mouth	120.0	TP-model-no-country	
107	"C(birth_mode_ms, Treatment(""Vag""))"	4	9	0.5	634.832080078125	1009.4190612792969	0.3710916462449555	Baby-Mouth	120.0	TP-model-no-country	
108	"C(birth_mode_ms, Treatment(""Vag""))"	2	18	0.25	836.9659301757813	889.2557556152344	0.05880178464886765	Baby-Mouth	180.0	TP-model-no-country	
109	"C(birth_mode_ms, Treatment(""Vag""))"	2	18	0.5	836.9665588378906	889.2557861328125	0.05880110999594035	Baby-Mouth	180.0	TP-model-no-country	
110	"C(birth_mode_ms, Treatment(""Vag""))"	2	4	0.25	345.53981628417966	489.5332977294922	0.2941444067506126	Baby-Mouth	180.0	TP-model-no-country	Yes
111	"C(birth_mode_ms, Treatment(""Vag""))"	2	4	0.5	345.54755859375	489.5356048583984	0.2941319177515146	Baby-Mouth	180.0	TP-model-no-country	
112	"C(birth_mode_ms, Treatment(""Vag""))"	2	9	0.25	693.3529602050781	830.5936889648438	0.16523208710001958	Baby-Mouth	180.0	TP-model-no-country	
113	"C(birth_mode_ms, Treatment(""Vag""))"	2	9	0.5	693.3587890625	830.5939086914062	0.16522529023252652	Baby-Mouth	180.0	TP-model-no-country	
114	"C(birth_mode_ms, Treatment(""Vag""))"	4	18	0.25	1365.7383178710938	1398.409521484375	0.02336311581932138	Baby-Mouth	180.0	TP-model-no-country	
115	"C(birth_mode_ms, Treatment(""Vag""))"	4	18	0.5	1365.738623046875	1398.4095092773437	0.023362889063413106	Baby-Mouth	180.0	TP-model-no-country	
116	"C(birth_mode_ms, Treatment(""Vag""))"	4	4	0.25	467.07753601074216	701.5196228027344	0.33419177336100936	Baby-Mouth	180.0	TP-model-no-country	
117	"C(birth_mode_ms, Treatment(""Vag""))"	4	4	0.5	467.0860870361328	701.522265625	0.33418209239588914	Baby-Mouth	180.0	TP-model-no-country	
118	"C(birth_mode_ms, Treatment(""Vag""))"	4	9	0.25	1086.9189575195312	1280.2974731445313	0.15104186306799794	Baby-Mouth	180.0	TP-model-no-country	
119	"C(birth_mode_ms, Treatment(""Vag""))"	4	9	0.5	1086.9281005859375	1280.2979614257813	0.15103504548620916	Baby-Mouth	180.0	TP-model-no-country	
120	"C(birth_mode_ms, Treatment(""Vag""))"	3	15	0.25	729.89296875	788.9211730957031	0.07482142241673928	Baby-Mouth	2.0	TP-model-no-country	Yes
121	"C(birth_mode_ms, Treatment(""Vag""))"	3	15	0.5	729.8938720703125	788.9212280273438	0.07482034182883646	Baby-Mouth	2.0	TP-model-no-country	
122	"C(birth_mode_ms, Treatment(""Vag""))"	3	30	0.25	856.4591552734375	869.8573303222656	0.015402727070040645	Baby-Mouth	2.0	TP-model-no-country	
