				T	P
CS vs. Vag	fecal	0.0	0	4.0988216147229135	0.00015676318366683324
CSseed vs. Vag	fecal	8.0	0	-2.7377074796480994	0.028978632821108543
CS vs. Vag	fecal	8.0	0	-2.8526195097219085	0.017028213702026698
CSseed vs. Vag	fecal	10.0	0	-3.5779452544001575	0.003112751817175138
CS vs. Vag	fecal	10.0	0	-2.6524272868764167	0.030298126500518878
CS vs. Vag	oral	4.0	0	3.7836831799555135	0.0017425389202545029
CS vs. Vag	skin	0.0	0	3.8594771288487593	0.0004280575390156243
